Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,RELIANCE.NS,ONGC.NS,TATAPOWER.NS,ADANIGREEN.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS
2023-06-20,2990.4951171875,1211.450927734375,178.89633178710938,1059.734130859375,1167.3074951171875,135.17996215820312,222.6029052734375,961.7000122070312,964.4152221679688,960.8143920898438,984.0700073242188,3500.118408203125
2023-06-21,3018.753662109375,1207.6866455078125,180.29945373535156,1061.366455078125,1170.5943603515625,137.7159423828125,221.95968627929688,977.0,964.3665771484375,962.617919921875,981.8802490234375,3444.518310546875
2023-06-22,3000.501220703125,1191.142333984375,178.8027801513672,1054.973388671875,1157.4471435546875,136.64138793945312,218.79307556152344,974.8499755859375,962.81103515625,960.4713134765625,971.5641479492188,3478.182861328125
2023-06-23,2979.9794921875,1175.759765625,177.70372009277344,1056.5604248046875,1147.974853515625,134.87905883789062,216.0222930908203,959.8499755859375,963.92919921875,978.9869995117188,962.9025268554688,3398.781982421875
2023-06-26,2955.240966796875,1180.7322998046875,178.14801025390625,1058.69140625,1139.210205078125,134.87905883789062,216.31915283203125,968.4500122070312,967.33203125,988.337890625,994.5321044921875,3468.85888671875
2023-06-27,2962.375244140625,1188.91162109375,178.943115234375,1060.958251953125,1139.62109375,135.6957550048828,216.96237182617188,959.5499877929688,973.9918212890625,985.2012939453125,982.2208251953125,3516.901611328125
2023-06-28,2979.14501953125,1202.10986328125,178.52220153808594,1061.184814453125,1154.708251953125,136.2975311279297,215.77488708496094,956.6500244140625,993.4366455078125,1001.3253173828125,982.8534545898438,3534.8134765625
2023-06-30,3059.56640625,1241.286376953125,182.00656127929688,1077.2352294921875,1164.1805419921875,137.80191040039062,219.53524780273438,945.9000244140625,1022.409423828125,1011.47021484375,987.7681884765625,3517.196044921875
2023-07-03,3031.817626953125,1239.61328125,183.15243530273438,1071.4771728515625,1194.0582275390625,140.03700256347656,219.584716796875,942.8499755859375,1004.0341186523438,999.4531860351562,974.9703369140625,3521.07275390625
2023-07-04,3065.681396484375,1250.255615234375,185.18695068359375,1079.6383056640625,1181.7557373046875,138.57557678222656,218.34776306152344,946.0,1019.6871337890625,1017.1160888671875,984.751220703125,3484.31689453125
2023-07-05,3075.965576171875,1252.2540283203125,184.2281494140625,1083.4471435546875,1179.8155517578125,139.95106506347656,219.3867950439453,948.2000122070312,1015.7009887695312,1015.1458740234375,983.7293701171875,3678.50048828125
2023-07-06,3078.698486328125,1249.0938720703125,185.3038787841797,1070.61572265625,1204.5804443359375,142.18609619140625,227.2043914794922,962.2000122070312,1013.56201171875,1025.6241455078125,993.8994750976562,3667.6064453125
2023-07-07,3084.58203125,1236.360107421875,185.1401824951172,1049.7138671875,1202.2294921875,140.55279541015625,225.62107849121094,951.0,1006.9507446289062,1015.95947265625,993.3156127929688,3600.670166015625
2023-07-10,3031.4931640625,1235.38427734375,182.3807373046875,1019.6986083984375,1248.541015625,139.90805053710938,222.6523895263672,959.4500122070312,1015.99267578125,1010.5586547851562,989.4713134765625,3572.501708984375
2023-07-11,3031.909912109375,1253.4620361328125,183.36288452148438,1010.99365234375,1262.076171875,141.49842834472656,223.14715576171875,965.1500244140625,1042.486328125,1020.614990234375,1000.2741088867188,3573.974365234375
2023-07-12,3020.328857421875,1239.2415771484375,183.2693634033203,1007.0490112304688,1263.468505859375,144.1203155517578,223.93881225585938,954.5499877929688,1048.8056640625,1025.1885986328125,994.8240356445312,3566.17138671875
2023-07-13,3095.0517578125,1268.7982177734375,184.4152374267578,1005.4620971679688,1252.170166015625,144.24928283691406,219.53524780273438,947.0499877929688,1045.7918701171875,1015.9918212890625,993.3642578125,3553.804931640625
2023-07-14,3256.35693359375,1325.35546875,189.4430389404297,1043.6834716796875,1251.1202392578125,145.4958038330078,218.74359130859375,965.2000122070312,1043.1666259765625,1006.0342407226562,1003.2910766601562,3609.0615234375
2023-07-17,3235.09375,1322.5670166015625,194.213623046875,1046.2227783203125,1276.6842041015625,143.0457763671875,221.16802978515625,965.2999877929688,1047.6876220703125,1033.239501953125,1004.9942016601562,3595.026611328125
2023-07-18,3239.865234375,1371.131103515625,195.12564086914062,1058.41943359375,1287.5257568359375,143.47557067871094,219.18890380859375,973.75,1037.52783203125,1025.583740234375,1003.1937866210938,3559.4482421875
2023-07-19,3215.03466796875,1370.898681640625,195.47642517089844,1060.096923828125,1297.2950439453125,143.34664916992188,217.2097625732422,979.6500244140625,1051.8197021484375,1031.5799560546875,1008.059814453125,3570.636962890625
2023-07-20,3217.124755859375,1347.244140625,195.3361053466797,1057.124267578125,1295.7237548828125,143.73348999023438,215.87384033203125,985.0,1067.18115234375,1054.8834228515625,1028.2542724609375,3598.609130859375
2023-07-21,3128.877197265625,1237.6614990234375,189.2793426513672,1020.2191162109375,1255.613525390625,146.6133270263672,215.1316680908203,995.5499877929688,1066.6951904296875,1044.78759765625,1029.1370849609375,3619.9560546875
2023-07-24,3153.447509765625,1242.30859375,188.975341796875,1017.8869018554688,1230.2166748046875,147.0001678466797,215.08221435546875,989.1500244140625,1069.8548583984375,1065.2359619140625,1029.1370849609375,3617.698486328125
2023-07-25,3157.534423828125,1240.4498291015625,187.26821899414062,1016.6522216796875,1229.425537109375,148.71946716308594,217.1602783203125,1088.050048828125,1064.653564453125,1071.89404296875,1034.8275146484375,3650.4794921875
2023-07-26,3147.4560546875,1253.694580078125,188.36732482910156,1019.8076171875,1249.4063720703125,148.67649841308594,219.18890380859375,1140.4000244140625,1081.1326904296875,1081.822021484375,1048.31787109375,3612.25146484375
2023-07-27,3155.4443359375,1257.6912841796875,187.05776977539062,1021.95703125,1237.7838134765625,147.0001678466797,218.59515380859375,1119.199951171875,1103.44580078125,1088.0157470703125,1149.3232421875,3672.562744140625
2023-07-28,3116.894287109375,1245.9334716796875,186.49652099609375,1009.3351440429688,1250.2225341796875,147.68788146972656,232.20167541503906,1092.5999755859375,1110.861083984375,1103.031005859375,1155.553466796875,3669.765869140625
2023-07-31,3178.249755859375,1260.061279296875,189.4430389404297,1021.3626708984375,1260.8065185546875,152.2010498046875,234.2303009033203,1093.300048828125,1115.5928955078125,1114.38134765625,1152.8062744140625,3616.0302734375
2023-08-01,3206.675048828125,1268.89111328125,190.33168029785156,1041.3013916015625,1242.9769287109375,151.90016174316406,241.84996032714844,1087.050048828125,1115.641845703125,1119.6368408203125,1156.0928955078125,3572.060302734375
2023-08-02,3196.08447265625,1261.1302490234375,188.3907012939453,1034.35009765625,1229.697509765625,151.2554473876953,233.29022216796875,1052.449951171875,1107.64111328125,1118.332763671875,1146.2327880859375,3622.21337890625
2023-08-03,3158.277587890625,1268.0548095703125,186.91744995117188,1029.4111328125,1224.5291748046875,147.94580078125,232.9933319091797,1036.0,1113.2513427734375,1118.1451416015625,1143.8291015625,3657.251708984375
2023-08-04,3198.778564453125,1281.1134033203125,191.22032165527344,1046.6519775390625,1241.1717529296875,149.0203399658203,233.19125366210938,1012.5499877929688,1111.2509765625,1116.1793212890625,1186.89990234375,3675.99755859375
2023-08-07,3236.399658203125,1294.7301025390625,192.29603576660156,1052.5513916015625,1248.2442626953125,148.67649841308594,230.37100219726562,965.9000244140625,1132.5697021484375,1112.4552001953125,1200.537353515625,3838.087890625
